time,Open,High,Low,Close,Volume,Ret_5d,Ret_20d
2016-02-11,371.14,379.83,371.14,377.06,503979335.12027735,-0.03228621291448508,0.050277151054288316
2016-02-15,382.72,404.14,382.72,399.38,1388195099.8471158,0.01239575147659,0.05580669891876178
2016-02-19,407.01,421.42,407.01,419.38,601898504.2767404,0.15103609167009724,0.16187837650644132
2016-02-23,441.12,441.12,420.3,420.3,1465084346.963302,0.14174725632945773,0.06577746221726333
2016-02-27,423.19,432.14,423.14,432.14,595150632.3741599,0.15077758841073718,-0.04480449150107213
2016-02-29,432.8,436.92,432.8,436.92,1847224330.8996885,0.15875457486872113,-0.060387096774193516
2016-03-03,431.37,431.37,420.17,420.17,2737847218.462073,0.05205568631378643,-0.09063954117519746
2016-03-07,409.41,413.74,397.24,413.74,2361080396.000645,-0.013448423863798964,-0.06567002393749155
2016-03-11,411.88,419.3,411.88,419.3,2440375016.827296,-0.0023792529145848507,-0.010921614417474523
2016-03-15,410.8,415.64,410.8,415.64,2111129338.3052552,-0.038182070625260356,-0.03595119914644895
2016-03-19,416.54,418.4,406.74,406.74,1764836350.22334,-0.0690744301016204,-0.054532775453277504
2016-03-23,411.88,418.08,411.09,418.08,1985257305.3708298,-0.004974177118785339,-0.08402164625462838
2016-03-27,414.88,425.35,414.88,425.35,2326287423.8189363,0.02806110117465077,-0.05129920820787326
2016-03-31,422.76,422.76,412.6,415.37,1432304098.8288007,-0.009372764130693989,0.1351698505096881
2016-04-03,416.75,419.67,416.75,418.19,429476810.3973782,0.006135116928110973,0.10334546989604765
2016-04-07,419.44,422.65,419.44,421.08,593936633.4999853,0.03525593745390165,0.08068986757006469
2016-04-11,418.47,422.58,416.15,422.58,710470936.9100323,0.010763490241102236,0.07120586073157731
2016-04-15,426.18,429.97,424.27,429.97,841700526.6271452,0.010861643352533257,0.18010155070673806
2016-04-19,430.94,436.37,428.03,436.37,674540887.3072404,0.05055733442472965,0.1854014995110289
2016-04-23,441.92,451.82,441.92,451.82,835075482.691219,0.08041799182189924,0.2031849169152109
2016-04-27,459.92,467.86,444.79,444.79,1344104894.4750998,0.056307590006649644,0.17962658462844106
2016-04-30,449.38,456.57,447.9,447.9,577836728.8566968,0.059917648729234774,0.12148830687565715
2016-05-03,452.59,452.59,444.49,450.3,460396814.0834587,0.0472823685373398,0.07372788401926655
